NOREK,NAMA,TIPE,PINJAMAN,Bunga,Total Pinjaman,Durasi,Cicilan
1,AHMAD,C,1200000,240000,1440000,24,60000
2,RIANA,B,2700000,405000,3105000,18,172500
3,RENITA,A,3600000,360000,3960000,12,330000
4,DIDIN,C,4500000,900000,5400000,24,225000
5,DUDUNG,C,2800000,560000,3360000,24,140000
6,RETNO,C,4900000,980000,5880000,24,245000
7,FAJAR,C,1400000,280000,1680000,24,70000
8,EKA,A,2500000,250000,2750000,12,229166
9,BERLIAN,A,4200000,420000,4620000,12,385000
10,RONI,B,3200000,480000,3680000,18,204444
11,JUANDA,A,3900000,390000,4290000,12,357500
12,DANANG,C,4200000,840000,5040000,24,210000
13,ANDIKA,A,2300000,230000,2530000,12,210833
