NIP,NAMA,GOL,STATUS,LEMBUR(JAM),HonorTransport,HonorLembur,Pajak,GajiDibayar,TRANSPORT,HONOR_LEMBUR,PAJAK,GAJI_DIBAYAR
P0001,WIDIASTUTI,3A,PEG.TETAP,5,525000.0,0.0,402500.0,3622500.0,525000.0,0.0,402500.0,3622500.0
P0002,HARSONO,1B,PEG.KONTRAK,10,500000.0,400000.0,145000.0,2755000.0,500000.0,400000.0,145000.0,2755000.0
P0003,NURUL FIKRI,2B,PEG.TETAP,5,450000.0,750000.0,420000.0,3780000.0,450000.0,750000.0,420000.0,3780000.0
P0004,HENNY DESTINY,3B,PEG.TETAP,10,600000.0,0.0,460000.0,4140000.0,600000.0,0.0,460000.0,4140000.0
P0005,WENDY,1A,PEG.KONTRAK,10,375000.0,300000.0,108750.0,2066250.0,375000.0,300000.0,108750.0,2066250.0
P0006,PUPUT,2A,PEG.TETAP,5,625000.0,625000.0,187500.0,3562500.0,625000.0,625000.0,187500.0,3562500.0
P0007,ESTY DEWI,2B,PEG.KONTRAK,5,450000.0,750000.0,420000.0,3780000.0,450000.0,750000.0,420000.0,3780000.0
P0008,BUDIONO,3A,PEG.TETAP,10,525000.0,0.0,402500.0,3622500.0,525000.0,0.0,402500.0,3622500.0
P0009,MULYADI,2B,PEG.KONTRAK,5,450000.0,750000.0,420000.0,3780000.0,450000.0,750000.0,420000.0,3780000.0
P0010,AHMAD,2A,PEG.KONTRAK,10,625000.0,1250000.0,437500.0,3937500.0,625000.0,1250000.0,437500.0,3937500.0
